URL,Number of Words,Number of Unique Words,Number of Stopwords,Number of Sentences,Number of Nouns,Average Word Length,Type-Token Ratio,Compound Sentiment Score,Number of Named Entities
https://www.webmd.com/a-to-z-guides/what-is-chikungunya,753,320,314,22,202,4.231075697211155,0.4249667994687915,-0.9722,29
https://www.webmd.com/lung/ards-acute-respiratory-distress-syndrome,755,349,296,27,232,4.8344370860927155,0.46225165562913906,-0.9926,31
https://www.webmd.com/a-to-z-guides/anemia-rare-types,1247,447,371,38,423,5.026463512429832,0.35846030473135526,0.7616,55
https://www.webmd.com/children/urea-cycle-disorders,808,359,288,32,248,4.872524752475248,0.4443069306930693,-0.9948,28
https://www.webmd.com/children/urea-cycle-disorders,808,359,288,32,248,4.872524752475248,0.4443069306930693,-0.9948,28
https://www.webmd.com/children/urea-cycle-disorders,808,359,288,32,248,4.872524752475248,0.4443069306930693,-0.9948,28
https://www.webmd.com/a-to-z-guides/understanding-encephalitis-basics,779,345,290,19,220,4.947368421052632,0.4428754813863928,-0.9592,17
https://www.webmd.com/brain/chiari-malformation-symptoms-types-treatment,1088,397,416,50,335,5.148897058823529,0.3648897058823529,-0.9978,38
https://www.webmd.com/balance/stress-management/aromatherapy-overview,531,242,199,17,151,4.495291902071563,0.455743879472693,-0.8377,10
https://www.webmd.com/heart-disease/atrial-fibrillation/heart-disease-abnormal-heart-rhythm,3892,1084,1468,162,1051,4.760791366906475,0.27852004110996914,-0.9975,76
https://www.webmd.com/skin-problems-and-treatments/picture-of-vascular-malformations-foot,973,355,369,53,293,4.39054470709147,0.3648509763617677,-0.9274,34
https://www.webmd.com/heart-disease/takayasus-arteritis,1309,483,461,40,383,4.760122230710466,0.3689839572192513,-0.8169,47
https://www.webmd.com/arthritis/polymyalgia-rheumatica-temporal-arteritis,1047,445,366,33,325,5.286532951289399,0.4250238777459408,0.8852,32
https://www.webmd.com/arthritis/arthritis-reactive-arthritis,722,338,251,20,224,4.933518005540166,0.46814404432132967,-0.9034,15
https://www.webmd.com/arthritis/septic-arthritis-symptoms-diagnosis-and-treatment,827,335,292,37,218,4.818621523579202,0.40507859733978235,-0.9778,21
https://www.webmd.com/rheumatoid-arthritis/guide/juvenile-rheumatoid-arthritis,1615,590,542,67,463,4.887306501547988,0.3653250773993808,0.8544,45
https://www.webmd.com/arthritis/psoriatic-arthritis/psoriatic-arthritis-the-basics,1280,505,434,50,375,4.9078125,0.39453125,0.9856,65
https://www.webmd.com/pain-management/hypnosis-meditation-and-relaxation-for-pain-treatment,915,413,351,36,247,4.663387978142077,0.45136612021857925,0.9909,12
https://www.webmd.com/women/whatis-autoimmune-thyroiditis,462,253,160,14,132,5.036796536796537,0.5476190476190477,-0.7964,19
https://www.webmd.com/a-to-z-guides/autosomal-dominant-polycystic-kidney-disease,1238,445,498,45,332,4.335218093699515,0.3594507269789984,-0.9975,40
https://www.webmd.com/arthritis/avascular-necrosis-osteonecrosis-symptoms-treatments,1193,484,430,57,356,4.740989103101425,0.4056999161777033,-0.9984,42
https://www.webmd.com/cold-and-flu/flu-guide/what-know-about-bird-flu,846,376,269,32,266,4.445626477541371,0.4444444444444444,-0.9996,35
https://www.webmd.com/skin-problems-and-treatments/picture-of-vascular-malformations-foot,973,355,369,53,293,4.39054470709147,0.3648509763617677,-0.9274,34
https://www.webmd.com/diet/mercury-in-fish,1464,470,550,41,395,4.5853825136612025,0.32103825136612024,-0.8586,43
https://www.webmd.com/brain/multifocal-motor-neuropathy,1148,409,477,43,274,4.32404181184669,0.35627177700348434,-0.9702,31
https://www.webmd.com/balance/guide/ayurvedic-treatments,2058,714,710,63,553,4.552964042759961,0.3469387755102041,0.9992,36
https://www.webmd.com/a-to-z-guides/why-am-i-cold,517,260,213,12,141,4.713733075435203,0.5029013539651838,-0.8896,12
https://www.webmd.com/a-to-z-guides/annual-physical-examinations,1265,539,430,51,370,4.7043478260869565,0.4260869565217391,-0.9757,24
https://www.webmd.com/covid/coronavirus,5194,1490,2016,150,1377,4.691952252599153,0.2868694647670389,0.9957,137
https://www.webmd.com/rheumatoid-arthritis/ra-marijuana-cbd-oil,626,302,229,21,167,4.717252396166134,0.48242811501597443,0.9252,18
https://www.webmd.com/diabetes/type-1-diabetes-guide/what-is-ketosis,852,386,325,34,216,4.633802816901408,0.45305164319248825,0.4907,23
https://www.webmd.com/hepatitis/digestive-diseases-hepatitis-c,2059,691,779,57,580,4.565322972316658,0.33559980573093734,-0.9923,52
https://www.webmd.com/diabetes/guide/understanding-diabetes-symptoms,988,433,362,42,253,4.563765182186235,0.4382591093117409,-0.9981,31
https://www.webmd.com/rheumatoid-arthritis/rheumatoid-arthritis-symptoms,1167,441,457,61,311,4.566409597257926,0.37789203084832906,-0.9921,28
https://www.webmd.com/sex/birth-control/faq-questions-emergency-contraception,1732,571,671,73,494,4.5202078521939955,0.32967667436489606,-0.998,61
https://www.webmd.com/breast-cancer/breast-cancer-detection,932,381,384,25,255,4.578326180257511,0.40879828326180256,-0.9949,17
